senfi_number,shop_was_in_page,shop_img,shop_title,shop_url,shop_id,shop_selling_type,shop_all_products_target_url,cooperation_status_with_emalls,name_of_person_in_charge,phone_number,shop_address,shop_email,shop_score,shop_social_media_handles,shop_recieved_date,shop_crawled_at,shop_current_city,shop_duration_of_cooperation_with_emalls,shop_website,shop_Enamad_sign,images
,67,http://emalls.ir//files/shoplogo/e5zaxu5ab6dayi7oxdclf7n5osenzy4u0lu4lryoge143f8l3z[medium].png,تکنوسل شاپ,https://emalls.ir//Shop/38377/,38377,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~38377,در حال همکاری با ایمالز,سجاد سعادت خواه,۰۵۱۴۴۲۲۱۱۸۷,سه گوش، خیابان بهار، خیابان خرمشهر، پلاک: 50.0، طبقه: همکف,technocellshop1 [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989154610101,https://t.me/technocell01,https://instagram.com/techno__cell",سه شنبه ۲ بهمن,2025-01-21 16:53:34.462458+00:00,خراسان رضوی - سبزوار,1 سال و 2 ماه و 19 روز,https://technocellshop.ir/,دارد (یک ستاره) معتبر تا 8 ماه و 20 روز,
,65,http://emalls.ir//files/shoplogo/gyiu7gcfu40s186byb75pyfo3tcapb3nmy03yhb6601hemwy2o[medium].png,دورکس لند,https://emalls.ir//Shop/31451/,31451,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~31451,در حال همکاری با ایمالز,دورکس لند,۰۹۳۷۵۵۵۷۷۵۳,"تهران شمیرانات استان: تهران، شهرستان : شمیرانات، بخش : مرکزی، شهر: تجریش، محله: سوهانک، بزرگراه ارتش، بن بست یاس بن بست سوم غربی، پلاک: 0.0، طبقه: همکف،
",,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:53:34.984250+00:00,تهران - تهران,2 سال و 29 روز,https://durexland.com/,دارد (یک ستاره) معتبر تا 6 ماه و 25 روز,
,66,http://emalls.ir/src/shop-default.svg,یولایف شاپ,https://emalls.ir//Shop/46628/,46628,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~46628,در حال همکاری با ایمالز,مهدی کهترپور,۰۱۳۴۴۵۰۹۲۵۲,کلویر 2، کوچه معرفت، کوچه نجم، پلاک: 22.0، طبقه: 1,mehdi [dot] kehtarpoor [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989055197153,https://instagram.com/ulifeshop.ir",سه شنبه ۲ بهمن,2025-01-21 16:53:35.264675+00:00,گیلان - بندر انزلی,6 ماه و 27 روز,https://ulifeshop.ir/,دارد (یک ستاره) معتبر تا 1 سال و 1 ماه و 11 روز,
,74,http://emalls.ir//files/shoplogo/4qboh6cels2l87h3xxplp5ei8j3r3kotuswu6icmpu3os1wys3[medium].png,تجهیزات توانبخشی رهاورد مهر ایرانیان,https://emalls.ir//Shop/21518/,21518,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~21518,در حال همکاری با ایمالز,تجهیزات توانبخشی رهاورد مهر ایرانیان,۰۲۱۵۵۲۵۳۹۶۳,محله: شهرک صنعتی جنوب، خیابان تیرداد (فلزتراش )، خیابان بهرام فلزتراش (18/5)، پلاک: -35.0، طبقه: همکف,zibavar [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:53:35.450523+00:00,تهران - چهاردانگه,3 سال و 4 ماه و 12 روز,https://irmedco.com/,دارد (یک ستاره) معتبر تا 6 ماه و 2 روز,
,75,http://emalls.ir/src/shop-default.svg,موبایل شاکر,https://emalls.ir//Shop/43462/,43462,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~43462,در حال همکاری با ایمالز,مجتبی شاکراردکانی,۰۳۵۳۲۲۲۱۲۶۳,شهرک قدس (شهرک نواب صفوی )، کوچه 231 شهیدعاصی زاده، کوچه 120 قدس، پلاک: 14.0، طبقه: همکف,mobileeshaker [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989140912195,https://t.me/mobileshaker,https://instagram.com/mobile_shaker",سه شنبه ۲ بهمن,2025-01-21 16:53:35.590737+00:00,یزد - اردکان,9 ماه,https://mobileshaker.ir/,دارد (یک ستاره) معتبر تا 1 سال و 2 ماه و 9 روز,
,73,http://emalls.ir//files/shoplogo/zuwdqv2yfjrdf78ese36xk4p6vkw5cswoej3paiwopr204ethm[medium].png,سان سلام,https://emalls.ir//Shop/37454/,37454,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~37454,در حال همکاری با ایمالز,بي بي صديقه ضيافتي باقرزاده,۰۵۱-۳۸۵۴۸۹۲۲ - ۰۵۱۳۸۵۸۰۹۱۰,خرمشهر، خیابان فکه، خیابان فکه 14[دهلاویه13]، پلاک: -112.005، طبقه: 3، واحد: 5,isunsalam [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:53:35.731229+00:00,خراسان رضوی - مشهد,1 سال و 3 ماه و 20 روز,https://sunsalam.com/,دارد (یک ستاره) معتبر تا 4 ماه و 10 روز,
,67,http://emalls.ir//files/shoplogo/atap546p83oeawqzx2kv453fqpbu8k6wdvhescg3qwv32m42r2[medium].jpeg,اس اسپورت,https://emalls.ir//Shop/52828/,52828,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~52828,در حال همکاری با ایمالز,صادق مشهدی تفرشی,۰۲۱۵۵۴۲۷۹۰۸,محله : سلیمانی_تیموری - کوچه شهید محمدباقر قدیمی - خیابان شهیدناصرکاظمی - پلاک : 107.0 - طبقه : همکف,Ssports [dot] ir [at] gmail [dot] com,بدون امتیاز,https://web.whatsapp.com/send?phone=989122657911,سه شنبه ۲ بهمن,2025-01-21 16:53:35.996355+00:00,تهران - تهران,2 ماه و 5 روز,https://ssports.ir/,,
,68,http://emalls.ir/src/shop-default.svg,ویت کالا,https://emalls.ir//Shop/54474/,54474,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~54474,در حال همکاری با ایمالز,عبدعلي ارندي فروشاني,۰۲۱۳۳۶۹۲۱۰۲,قدوسی شرقی، کوچه 8، بن بست 5/2، پلاک: 0.0، طبقه: 1، واحد: 2،,info [at] vitekala [dot] com,بدون امتیاز,https://web.whatsapp.com/send?phone=989905858809,سه شنبه ۲ بهمن,2025-01-21 16:53:36.279620+00:00,فارس - شیراز,1 ماه و 4 روز,https://vitekala.com/,,
467793795,65,http://emalls.ir//files/shoplogo/cnvpftfof0j7d6rvmudt641c8gobrhjx1etie11cl6371euito[medium].png,تیز استور,https://emalls.ir//Shop/40897/,40897,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~40897,در حال همکاری با ایمالز,سید امیر حسین علوی نسب,۰۴۵۳۳۷۲۲۱۶۶,شهرک حافظ، بلوار سردارشهیدحاج قاسم سلیمانی ، کوچه فردوسی 1، پلاک: 3.0، طبقه: -1,support [at] tizstore [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:53:36.553297+00:00,اردبیل - اردبیل,1 سال,https://tizstore.com/,دارد (یک ستاره) معتبر تا 1 سال,
,66,http://emalls.ir/src/shop-default.svg,پرمیوم اکسپرس,https://emalls.ir//Shop/45352/,45352,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~45352,در حال همکاری با ایمالز,علی درخشان نژاد,۰۵۱۳۳۶۹۵۸۳۱, شهر: مشهد، محله: پایین خیابان، کوچه شهیدروح بخش، کوچه راد [وحدت 1/3]، پلاک: 280.0، طبقه: همکف،,info [at] barghrasana [dot] ir,بدون امتیاز,"https://t.me/premiumexpress_ir,https://instagram.com/premiumExpress.ir",سه شنبه ۲ بهمن,2025-01-21 16:53:36.883132+00:00,قزوین - قزوین,7 ماه و 25 روز,https://premiumexpress.ir/,دارد (یک ستاره) معتبر تا 1 سال و 2 ماه و 25 روز,
,75,http://emalls.ir//files/shoplogo/74mr6z65bbm38r73ehbc64b6qaetx6ga6rfbtbn4jiy0xabvq4[medium].jpeg,باروشاپ,https://emalls.ir//Shop/4125/,4125,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~4125,در حال همکاری با ایمالز,آرمین روغنگیرا,۰۲۱۹۱۶۹۲۷۵۰,"تهران تهران محله صادقیه، خیابان سازمان آب، خیابان هشتم شمالی، کوچه یکم شرقی، پلاک ۱۲، طبقه همکف، واحد ۱
",info [at] barooshop [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989215355120,https://t.me/barooshop,https://instagram.com/barooshop,https://ble.ir/barooshop,https://eitaa.com/barooshop,https://rubika.ir/barooshop",سه شنبه ۲ بهمن,2025-01-21 16:53:37.039077+00:00,تهران - تهران,4 سال و 7 ماه و 22 روز,https://barooshop.com/,دارد (یک ستاره),
,66,http://emalls.ir/src/shop-default.svg,ضبط و باند خودرو,https://emalls.ir//Shop/45020/,45020,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~45020,در حال همکاری با ایمالز,مرتضی محمدابادی,۰۹۳۳۹۹۴۱۳۱۳,کوی جانبازان - خیابان شهریار - کوچه شهریار 6 - یسنا - پلاک : 0.0 - طبقه : 1 - واحد : 7,mortezamohamadabady [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989339941313,https://t.me/mortezamohamadabady,https://instagram.com/system_khodro_bojnord",سه شنبه ۲ بهمن,2025-01-21 16:53:37.317178+00:00,خراسان شمالی - بجنورد,8 ماه و 1 روز,https://calapakhsh.ir/,دارد (یک ستاره) معتبر تا 3 ماه و 11 روز,
,68,http://emalls.ir//files/shoplogo/42iqqx2kc7hc6abnbayisqtbg3zpn3c3705t3hhijcrmi5lmhz[medium].png,تولیدی پوشاک حاضر,https://emalls.ir//Shop/40915/,40915,اینترنتی,,در حال همکاری با ایمالز,جمال حاضرنظام,۰۵۱۳۳۶۴۵۲۲۸,عنصری ، خیابان دانش شرقی، خیابان شهید میرمرتضوی 2، پلاک: 0.0، ضامن (سرای 10)، 1.11، طبقه: همکف,jamalhazer4 [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:53:37.641151+00:00,خراسان رضوی - مشهد,1 سال,https://tolidi-hazer.top/,دارد (یک ستاره) معتبر تا 1 سال و 28 روز,
,75,http://emalls.ir//files/shoplogo/xbbn6jis3fuyy612ayvm4yynoha3lhkr3aya1msjb2vrr5q4fr[medium].jpg,کرومارکت,https://emalls.ir//Shop/7130/,7130,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~7130,در حال همکاری با ایمالز,هادی بهاری فر,۰۲۱۶۶۹۱۰۷۲۲,خ اسکندری جنوبی، کوچه خوشخویی، بن بست حاجیان، پلاک 1، طبقه اول,coromarket [dot] ir [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:53:37.803969+00:00,تهران - تهران,3 سال و 11 ماه و 13 روز,https://coromarket.ir/,دارد (یک ستاره) معتبر تا 5 ماه و 12 روز,
,73,http://emalls.ir//files/shoplogo/h60gqjtpurh3xptw65j0zahqzmm8kgl5baqyh7v3otip25a3ff[medium].png,راگا استور,https://emalls.ir//Shop/35231/,35231,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~35231,در حال همکاری با ایمالز,رایان امین گستر ابتکار ,۰۲۱۸۸۰۷۹۹۳۶,دریا، خیابان علامه طباطبائی جنوبی، خیابان مدیریت، پلاک: -7.0، پارسیان، طبقه: 6، واحد: شرقی .,ragaitshop5 [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989197150541,https://t.me/eng_fotovati",سه شنبه ۲ بهمن,2025-01-21 16:53:37.951275+00:00,تهران - تهران,1 سال و 6 ماه و 11 روز,https://ragaitshop.ir/,دارد (یک ستاره) معتبر تا 5 ماه,
,65,http://emalls.ir//files/shoplogo/0bkfcot5turxyyqeozrrx0uazgn5je2irhjxc55nlaojmnpv3d[medium].png,آرایشی و بهداشتی روژیا,https://emalls.ir//Shop/40403/,40403,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~40403,در حال همکاری با ایمالز,حسین مهرابی,۰۸۴۳۵۷۲۴۴۷۴,فر هنگیان، کوچه کشاورز، کوچه شبنم، پلاک: 0.0، طبقه: همکف,hossein78mehrabi [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:53:38.220873+00:00,ایلام - بدره,1 سال و 15 روز,https://www.rozhiyaa.com/,دارد (یک ستاره) معتبر تا 3 ماه و 24 روز,
,66,http://emalls.ir//files/shoplogo/wovcyqkvd5lad0zahry4dy2otuck73cpl01gf7xyg1skfucpcr[medium].png,کاندوم فوری ,https://emalls.ir//Shop/44807/,44807,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~44807,در حال همکاری با ایمالز,محمدامان حسینی ,۰۹۱۰۹۴۸۸۰۱۳,کرشته جدید - کوچه شهید عباس حاج اسماعیلی - خیابان ولی عصر - سی گل - پلاک : -111.3 - طبقه : 2 - واحد : 7,info [at] condomfoori [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:53:38.567906+00:00,تهران - شهریار,8 ماه و 4 روز,https://condomfoori.com/, معتبر تا 3 ماه و 24 روز,
,73,http://emalls.ir//files/shoplogo/ivnv83dsd0i1yfl7nedmtrb6giqeebqvc6xoh3xl0qkws82jx2[medium].png,احمدی کالا شاپ,https://emalls.ir//Shop/41614/,41614,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~41614,در حال همکاری با ایمالز,علیرضا حاجی احمدی,۰۲۵۳۷۲۱۱۳۳۲,خیابان محلاتی ، نبش کوچه 34 ، روبروی مسجد 14 معصوم، پلاک: 0.0، طبقه: همکف، لوازم خانگی احمدی ,info [at] ahmadikalashop [dot] ir,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:53:38.765345+00:00,قم - قم,11 ماه و 8 روز,https://ahmadikalashop.ir/,دارد (یک ستاره) معتبر تا 1 سال,
,68,http://emalls.ir//files/shoplogo/nd6aoz8msjmr7iehlx6l7e4lox8765ppiusgijjvbmavtmlehi[medium].jpg,یسنا الکتریک,https://emalls.ir//Shop/40405/,40405,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~40405,در حال همکاری با ایمالز,آرش بقائی,۰۳۱۳۴۳۵۶۰۹۰,شهرک نگین، کوچه فیروزه دوازده 16، خیابان شهیده بنت الهدی صدر شمالی، پلاک: 56.0، مهرگان، طبقه: همکف,Arash_baghaee [at] yahoo [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:53:38.931708+00:00,اصفهان - اصفهان,1 سال و 15 روز,https://yasnaelc.ir/,دارد (یک ستاره),
,75,http://emalls.ir/src/shop-default.svg,مثبت دانش,https://emalls.ir//Shop/42987/,42987,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~42987,در حال همکاری با ایمالز,ماندگار برج یار ,۰۹۱۹۴۱۴۴۷۶۰,کاشانک، خیابان شهید سباری، کوچه توکلی غربی(یکم غربی)، پلاک: 7.0، پیرامید، طبقه: 4، واحد: 43,info [at] mosbatedanesh [dot] ir,بدون امتیاز,"https://web.whatsapp.com/send?phone=989194144760,https://instagram.com/mosbatedanesh",سه شنبه ۲ بهمن,2025-01-21 16:53:39.164648+00:00,تهران - تهران,9 ماه و 14 روز,https://mosbatedanesh.ir/,دارد (یک ستاره) معتبر تا 2 ماه و 13 روز,
,65,http://emalls.ir/src/shop-default.svg,الکترونیما,https://emalls.ir//Shop/38789/,38789,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~38789,در حال همکاری با ایمالز,نیما مرادزاده,۰۵۱۴۶۲۲۸۵۱۴,محله: فلکه قدس، کوچه صیادشیرازی 20، بلوار صیاد شیرازی، پلاک: 0.0، طبقه: همکف,admin [at] electeronima [dot] ir,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:53:39.537734+00:00,خراسان رضوی - درگز,1 سال و 2 ماه و 6 روز,https://electeronima.ir/,دارد (یک ستاره) معتبر تا 29 روز,
,74,http://emalls.ir/src/shop-default.svg,ابرکوه مارکت,https://emalls.ir//Shop/44046/,44046,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~44046,در حال همکاری با ایمالز, حامد صدری ابرقوئی,۰۳۵۳۲۸۲۳۱۶۰,دروازه میدان، کوچه شهیدباهنر بیست ویکم، خیابان شهید باهنر، پلاک: 407.0، طبقه: همکف،,abarkouhmarket [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989232506800,https://instagram.com/abarkouhmarket",سه شنبه ۲ بهمن,2025-01-21 16:53:39.746599+00:00,یزد - ابرکوه,8 ماه و 15 روز,https://abarkouhmarket.com/,دارد (یک ستاره) معتبر تا 8 ماه و 22 روز,
,67,http://emalls.ir//files/shoplogo/w6m6i4ndfeqs31q8q8h2krnhwntyn1slx7uk5fiq41fh0gvzxu[medium].jpg,هوشمند پردازان ژیوان ,https://emalls.ir//Shop/40527/,40527,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~40527,در حال همکاری با ایمالز,هوشمند پردازان ژیوان ,۰۲۱۸۸۹۲۹۳۶۳,میدان ولی عصر، کوچه نصر، خیابان ولی عصر، پلاک: 1695.0، ایرانیان، ورودی A، طبقه: 9، واحد: 15,abaselyssi [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:53:39.916616+00:00,تهران - تهران,1 سال و 12 روز,https://zhivanco.ir/,دارد (یک ستاره) معتبر تا 8 ماه و 28 روز,
,76,http://emalls.ir//files/shoplogo/xc4yzhx8pa7z7lq7lcvhadsp2qnx1lld72tbjlgqez1r0wp0ww[medium].png,خانه اخوان,https://emalls.ir//Shop/1504/,1504,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~1504,در حال همکاری با ایمالز,اسماعیل ساکت سقزچی,۰۲۱-۲۶۱۴۵۰۰۴, تهران - بزرگراه رسالت - خیابان بنی هاشم - پاساژ گلشن راز - طبقه زیرین - پلاک 8,Info [at] akhavanhome [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:53:40.049881+00:00,تهران - تهران,6 سال و 7 ماه و 25 روز,https://akhavanhome.com/,دارد (یک ستاره),
,68,http://emalls.ir/src/shop-default.svg,سروش تجهیز ,https://emalls.ir//Shop/53558/,53558,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~53558,در حال همکاری با ایمالز,محمد مقدم,۰۶۱۳۲۲۳۱۳۷۰,سی متری - خیابان جهرمی - خیابان ادهم - پلاک : 201.0 - طبقه : همکف,soroosh [dot] tajhiz [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989373028881,https://instagram.com/soroosh.tajhiz",سه شنبه ۲ بهمن,2025-01-21 16:53:40.343604+00:00,خوزستان - اهواز,1 ماه و 22 روز,https://sorooshtajhiz.ir/,دارد (یک ستاره) معتبر تا 1 سال و 7 ماه و 4 روز,
,67,http://emalls.ir/src/shop-default.svg,کیف لند,https://emalls.ir//Shop/48483/,48483,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~48483,در حال همکاری با ایمالز,جهان سفیر آساک,۰۲۱۳۶۴۶۰۶۲۹,(خاتون آباد)، خیابان شهید محمد عبادی(امام رضا36)، بن بست لاله یکم، پلاک: -9.0، طبقه: همکف,info [at] kifland [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:53:40.632078+00:00,تهران - پاکدشت,5 ماه و 14 روز,https://kifland.com/,دارد (یک ستاره),
,66,http://emalls.ir/src/shop-default.svg, سی سی مونی,https://emalls.ir//Shop/38332/,38332,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~38332,در حال همکاری با ایمالز,امیر حسین حبیب زاده,۰۹۱۰۷۸۹۰۸۳۶,توحید - خیابان کوثر اول - بن بست صلاحی - پلاک : 2.0 - طبقه : 2 - واحد : 5,info [at] sisimoni [dot] ir,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:53:41.125127+00:00,تهران - تهران,1 سال و 2 ماه و 20 روز,https://sisimoni.ir/,دارد (یک ستاره) معتبر تا 9 ماه و 10 روز,
,76,http://emalls.ir//files/shoplogo/542ripoh41xcbz48gqoammuais7nryj4p3pihecjdbxzq3v1un[medium].png,کسل جی پی اس,https://emalls.ir//Shop/7812/,7812,اینترنتی,,در حال همکاری با ایمالز,عاطفه نجفی,۰۶۱۳۲۲۳۵۷۲۸,خیابان شهید آهنگری ، خیابان 24 متری (آزادگان ) ، پلاک 125 ، مجتمع هشت بهشت( فردوس ) ، طبقه اول,sales [at] caselgps [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:53:41.284221+00:00,خوزستان - اهواز,3 سال و 10 ماه و 11 روز,https://caselgps.com/,دارد (یک ستاره),
,67,http://emalls.ir/src/shop-default.svg,بازرگانی برادران,https://emalls.ir//Shop/38383/,38383,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~38383,در حال همکاری با ایمالز,عرفان هادیپور,۰۲۱۳۶۲۷۱۳۶۵,ورامین، خیابان شهید بهشتی، کوچه شهید سیدحسین حسینی، پلاک: 19.0، طبقه: 2، واحد: شمالی,Baradaran8378 [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:53:41.661012+00:00,تهران - ورامین,1 سال و 2 ماه و 18 روز,https://bazarganii12baradaran.ir/,دارد (یک ستاره),
,74,http://emalls.ir//files/shoplogo/hkezvtpinir5w043qeh2jbzoli4o800dc81d8kbbhvqgjr738j[medium].png,لوازم زنبورداری,https://emalls.ir//Shop/21521/,21521,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~21521,در حال همکاری با ایمالز,نعمت اله لطفی,۰۹۱۲۹۳۸۰۰۸۰,اصفهان-نجف آباد-بلوار جمهوری-نرسیده به خیابان مکتب-پلاک 104,zanborkala [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:53:41.828039+00:00,اصفهان - نجف‌آباد,3 سال و 4 ماه و 12 روز,https://zanborkala.com/,دارد (یک ستاره) معتبر تا 28 روز,
,75,http://emalls.ir/src/shop-default.svg,دست گرافی,https://emalls.ir//Shop/43461/,43461,اینترنتی,,در حال همکاری با ایمالز,شایان سلیم شهشهانی,۰۲۱۸۸۹۱۹۷۱۲,میدان ولی عصر، کوچه نوید، خیابان شهید استاد نجات الهی، پلاک: 223.0، طبقه: همکف،,shayansalimshah [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:53:41.965747+00:00,تهران - تهران,9 ماه,https://dastgraphy.ir/,دارد (یک ستاره) معتبر تا 1 سال و 27 روز,
,76,http://emalls.ir//files/shoplogo/a3gs1p7ggm43e26zf6alxtp4p61ii8hc0fggt6fxpvy68mu0qd[medium].png,ریوان پیسی,https://emalls.ir//Shop/42400/,42400,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~42400,در حال همکاری با ایمالز,رضا رمضانی فر,۰۲۸۳۵۲۴۴۴۶۴,محله: آزادگان، خیابان آزادگان، کوچه دوم 2، پلاک: 0.0، طبقه: همکف,abolfazl325m [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989903208226,https://t.me/rivanpc",سه شنبه ۲ بهمن,2025-01-21 16:53:42.111566+00:00,قزوین - تاکستان,10 ماه و 10 روز,https://rivanpc.ir/,دارد (یک ستاره) معتبر تا 1 سال و 22 روز,
,73,http://emalls.ir//files/shoplogo/1w3yzv4y5400baxfuhthap2f0wsxawtmilucfptwnifdnysz6t[medium].png,چغوک,https://emalls.ir//Shop/37453/,37453,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~37453,در حال همکاری با ایمالز, غزل اختر,۰۲۱۴۴۰۶۴۸۴۷,محله: فردوس، خیابان شهید همایون وفا آذر شمالی، بن بست بهرام، پلاک: 4.0، طبقه: -1,info [at] choghook [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:53:42.257811+00:00,تهران - تهران,1 سال و 3 ماه و 21 روز,https://choghook.com/,دارد (یک ستاره) معتبر تا 5 ماه و 26 روز,
,65,http://emalls.ir//files/shoplogo/ntwg44a1lbkqfliyuqmqmgs46gf6i00po17y73ulbp1m4dfzn8[medium].png,آذین ست,https://emalls.ir//Shop/31431/,31431,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~31431,در حال همکاری با ایمالز,مجید شیشه چی ,۰۹۱۵۰۰۴۰۹۷۴,کوثر، خیابان کوثرشمالی 21 [شهیدصارمی 20]، خیابان شهیدمحمدبیناباجی، پلاک: -1.0، طبقه: 3، واحد: 6,Shishechi82 [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:53:42.538435+00:00,خراسان رضوی - مشهد,2 سال و 29 روز,https://azinset.ir/,دارد (یک ستاره) معتبر تا 2 ماه و 26 روز,
,75,http://emalls.ir/src/shop-default.svg,هیون,https://emalls.ir//Shop/51088/,51088,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~51088,در حال همکاری با ایمالز,علی خدائی,۰۹۱۴۵۲۳۰۵۷۳,بازارباش - کوچه هشتم (شهیدحیدرنصرافکن) - خیابان دستغیب - پلاک : 2.032 - طبقه : همکف,alikhodayi43 [at] yahoo [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:53:42.698475+00:00,آذربایجان غربی - ارومیه,3 ماه و 13 روز,https://arayshiheaven.ir/,,
